9E,555223.8987624614
AA,6147271.19718609
AQ,81689.38641319466
AS,1436004.7960110486
B6,1149703.0220078623
CO,2465740.578491317
DH,275681.09781576705
DL,7182171.621679194
EV,2492557.464186919
F9,423456.68634057394
FL,1055717.7713436978
HA,346821.74397525395
HP,910003.0066097459
MQ,2886943.33105988
NK,108401.09632688854
NW,3042120.4181760214
OH (1),705389.127988408
OO,3319248.8671254995
TW,765081.503412038
TZ,88327.69213126374
UA,5281771.584589904
US,4691693.501859506
VX,129361.31338746937
WN,9853805.606209947
XE,1455764.3176331015
YV,707683.7067594167
