DH                                                                                                  	3.814977129E8
DL                                                                                                  	9.070940077899996E9
EV                                                                                                  	3.2040548516000013E9
F9                                                                                                  	5.687164333E8
TW                                                                                                  	1.0277739021999997E9
MQ                                                                                                  	3.707765128100001E9
FL                                                                                                  	1.3813384324E9
TZ                                                                                                  	1.1509756670000002E8
UA                                                                                                  	6.852889325199998E9
NK                                                                                                  	1.4291987920000008E8
US                                                                                                  	6.003695036999997E9
NW                                                                                                  	3.9546243353000026E9
9E                                                                                                  	7.335089094E8
HA                                                                                                  	4.7932338220000005E8
AA                                                                                                  	7.98072735649999E9
OO                                                                                                  	4.3250453490999975E9
VX                                                                                                  	1.6961151040000004E8
HP                                                                                                  	1.2225231223000002E9
AQ                                                                                                  	8.571852450000001E7
AS                                                                                                  	1.8714230787000003E9
B6                                                                                                  	1.4864600569E9
WN                                                                                                  	1.2559972602499983E10
XE                                                                                                  	1.8981540751000004E9
CO                                                                                                  	3.166031890700002E9
OH (1)                                                                                              	9.505278562000002E8
YV                                                                                                  	9.249905772000002E8
