DH                                                                                                  	3.352172900499999E9
DL                                                                                                  	7.977157753419965E10
EV                                                                                                  	2.8166522714000088E10
F9                                                                                                  	5.001822181599996E9
TW                                                                                                  	9.032207795000002E9
MQ                                                                                                  	3.260420155000011E10
FL                                                                                                  	1.2136674662999985E10
TZ                                                                                                  	1.0151719665999998E9
UA                                                                                                  	6.026631809690018E10
NK                                                                                                  	1.2556978686999998E9
US                                                                                                  	5.2742030571900215E10
NW                                                                                                  	3.476894079920016E10
9E                                                                                                  	6.452755220500002E9
HA                                                                                                  	4.2048615805999985E9
AA                                                                                                  	7.015117033949982E10
OO                                                                                                  	3.805852475260014E10
VX                                                                                                  	1.4900221110000005E9
HP                                                                                                  	1.0741680412399988E10
AQ                                                                                                  	7.533131447000003E8
AS                                                                                                  	1.6448745966999994E10
B6                                                                                                  	1.3066798603099974E10
WN                                                                                                  	1.1041907340099866E11
XE                                                                                                  	1.6664937143999989E10
CO                                                                                                  	2.7831922182700092E10
OH (1)                                                                                              	8.363572286699988E9
YV                                                                                                  	8.138256159699993E9
