DH                                                                                                  	2780045
DL                                                                                                  	66158555
EV                                                                                                  	23359774
F9                                                                                                  	4148301
TW                                                                                                  	7490867
MQ                                                                                                  	27040048
FL                                                                                                  	10065513
TZ                                                                                                  	841920
UA                                                                                                  	49981659
NK                                                                                                  	1041439
US                                                                                                  	43741312
NW                                                                                                  	28835768
9E                                                                                                  	5351635
HA                                                                                                  	3487399
AA                                                                                                  	58179360
OO                                                                                                  	31563895
VX                                                                                                  	1235718
HP                                                                                                  	8908687
AQ                                                                                                  	624736
AS                                                                                                  	13641626
B6                                                                                                  	10837050
WN                                                                                                  	91575849
XE                                                                                                  	13820996
CO                                                                                                  	23082243
OH (1)                                                                                              	6936390
YV                                                                                                  	6749486
