NULL	NULL	3246994
31	48	10584
32	17	10651
62	96	10451
64	34	10446
97	20	10437
127	99	10552
128	68	10451
130	6	10321
160	85	10493
193	71	10630
194	40	10880
226	57	10607
259	43	10507
260	12	10567
290	91	10646
292	29	10554
325	15	10472
355	94	10604
356	63	10461
358	1	10516
388	80	10470
421	66	10454
422	35	10474
454	52	10479
487	38	10611
488	7	10584
518	86	10648
520	24	10703
553	10	10486
583	89	10371
584	58	10547
616	75	10343
649	61	10386
650	30	10613
682	47	10453
715	33	10425
716	2	10548
746	81	10491
748	19	10519
778	98	10465
781	5	10562
811	84	10364
812	53	10461
844	70	10434
877	56	10461
878	25	10638
910	42	10595
943	28	10430
974	76	10470
976	14	10605
NULL	1	32564
31	49	10593
32	18	10620
62	97	10328
64	35	10575
97	21	10405
127	100	10542
128	69	10347
130	7	10548
160	86	10537
193	72	10473
194	41	10613
226	58	10532
259	44	10532
260	13	10521
290	92	10486
292	30	10499
325	16	10636
355	95	10593
356	64	10654
358	2	10651
388	81	10696
421	67	10554
422	36	10712
454	53	10539
487	39	10654
488	8	10486
518	87	10630
520	25	10624
553	11	10413
583	90	10437
584	59	10464
616	76	10535
649	62	10522
650	31	10509
682	48	10566
715	34	10660
716	3	10564
746	82	10398
748	20	10592
778	99	10663
781	6	10647
811	85	10618
812	54	10503
844	71	10638
877	57	10593
878	26	10745
910	43	10492
943	29	10518
974	77	10778
976	15	10468
NULL	2	32250
31	50	10513
32	19	10578
62	98	10260
64	36	10603
97	22	10715
128	70	10465
130	8	10570
160	87	10374
193	73	10451
194	42	10431
226	59	10533
259	45	10491
260	14	10519
290	93	10834
292	31	10629
325	17	10699
355	96	10587
356	65	10492
358	3	10641
388	82	10464
421	68	10354
422	37	10469
454	54	10609
487	40	10497
488	9	10607
518	88	10809
520	26	10561
553	12	10641
583	91	10368
584	60	10565
616	77	10638
649	63	10718
650	32	10688
682	49	10658
715	35	10643
716	4	10413
746	83	10540
748	21	10656
778	100	10692
781	7	10789
811	86	10590
812	55	10705
844	72	10366
877	58	10609
878	27	10466
910	44	10568
943	30	10727
974	78	10604
976	16	10543
NULL	3	32266
31	51	10520
32	20	10609
62	99	10537
64	37	10459
97	23	10518
128	71	10453
130	9	10411
160	88	10422
193	74	10478
194	43	10631
226	60	10621
259	46	10379
260	15	10523
290	94	10703
292	32	10718
325	18	10528
355	97	10600
356	66	10604
358	4	10553
388	83	10574
421	69	10415
422	38	10323
454	55	10562
487	41	10679
488	10	10397
518	89	10794
520	27	10709
553	13	10521
583	92	10688
584	61	10519
616	78	10598
649	64	10403
650	33	10678
682	50	10467
715	36	10392
716	5	10591
746	84	10538
748	22	10616
781	8	10577
811	87	10554
812	56	10625
844	73	10768
877	59	10295
878	28	10408
910	45	10657
943	31	10395
944	NULL	6529
974	79	10436
976	17	10443
NULL	4	32513
31	52	10508
32	21	10513
62	100	10446
64	38	10659
97	24	10401
128	72	10553
130	10	10546
160	89	10722
193	75	10611
194	44	10524
226	61	10429
259	47	10735
260	16	10602
290	95	10614
292	33	10747
325	19	10498
355	98	10545
356	67	10547
358	5	10488
388	84	10479
421	70	10706
422	39	10437
454	56	10665
487	42	10767
488	11	10618
518	90	10455
520	28	10554
553	14	10698
583	93	10537
584	62	10541
586	NULL	6512
616	79	10508
649	65	10441
650	34	10697
682	51	10569
715	37	10509
716	6	10424
746	85	10537
748	23	10459
781	9	10509
811	88	10668
812	57	10589
844	74	10444
877	60	10217
878	29	10710
910	46	10650
943	32	10353
944	1	10561
974	80	10669
976	18	10211
NULL	5	32588
31	53	10630
32	22	10339
64	39	10325
97	25	10612
128	73	10570
130	11	10576
160	90	10579
193	76	10413
194	45	10429
226	62	10641
259	48	10667
260	17	10644
290	96	10556
292	34	10534
325	20	10542
355	99	10447
356	68	10592
358	6	10501
388	85	10609
421	71	10598
422	40	10690
454	57	10539
487	43	10730
488	12	10458
518	91	10583
520	29	10383
553	15	10570
583	94	10606
584	63	10424
586	1	10557
616	80	10663
649	66	10433
650	35	10476
682	52	10457
715	38	10585
716	7	10368
746	86	10483
748	24	10665
781	10	10347
811	89	10533
812	58	10562
844	75	10694
877	61	10524
878	30	10448
910	47	10721
943	33	10702
944	2	10446
974	81	10632
976	19	10452
NULL	6	32652
31	54	10665
32	23	10488
64	40	10421
97	26	10499
128	74	10601
130	12	10488
160	91	10609
193	77	10560
194	46	10677
226	63	10385
259	49	10392
260	18	10541
290	97	10655
292	35	10474
325	21	10624
355	100	10557
356	69	10738
358	7	10702
388	86	10479
421	72	10690
422	41	10554
454	58	10366
487	44	10661
488	13	10574
518	92	10748
520	30	10487
553	16	10551
583	95	10503
584	64	10649
586	2	10484
616	81	10677
649	67	10572
650	36	10556
682	53	10428
715	39	10537
716	8	10466
746	87	10665
748	25	10539
781	11	10603
811	90	10543
812	59	10588
844	76	10592
877	62	10213
878	31	10584
910	48	10538
943	34	10497
944	3	10641
974	82	10595
976	20	10653
NULL	7	32779
31	55	10568
32	24	10563
64	41	10691
97	27	10636
128	75	10580
130	13	10656
160	92	10486
193	78	10760
194	47	10659
226	64	10521
259	50	10462
260	19	10309
290	98	10396
292	36	10452
325	22	10557
356	70	10672
358	8	10464
388	87	10446
421	73	10572
422	42	10625
454	59	10592
487	45	10538
488	14	10506
518	93	10633
520	31	10767
553	17	10613
583	96	10455
584	65	10546
586	3	10475
616	82	10533
649	68	10340
650	37	10806
682	54	10524
715	40	10728
716	9	10720
746	88	10678
748	26	10524
781	12	10373
811	91	10453
812	60	10557
844	77	10499
877	63	10601
878	32	10580
910	49	10537
943	35	10681
944	4	10737
974	83	10456
976	21	10725
NULL	8	32642
31	56	10496
32	25	10425
64	42	10628
97	28	10725
128	76	10717
130	14	10399
160	93	10754
163	NULL	6689
193	79	10805
194	48	10609
226	65	10495
259	51	10534
260	20	10645
290	99	10408
292	37	10519
325	23	10404
356	71	10557
358	9	10342
388	88	10494
421	74	10617
422	43	10744
454	60	10692
487	46	10483
488	15	10623
518	94	10581
520	32	10573
553	18	10523
583	97	10451
584	66	10506
586	4	10538
616	83	10562
649	69	10417
650	38	10617
682	55	10386
715	41	10448
716	10	10502
746	89	10553
748	27	10458
781	13	10535
811	92	10485
812	61	10589
844	78	10481
877	64	10456
878	33	10521
910	50	10495
943	36	10455
944	5	10574
974	84	10775
976	22	10703
NULL	9	32682
31	57	10547
32	26	10531
64	43	10624
97	29	10616
128	77	10242
130	15	10451
160	94	10722
163	1	10618
193	80	10588
194	49	10592
226	66	10577
259	52	10701
260	21	10703
290	100	10540
292	38	10531
325	24	10301
356	72	10637
358	10	10575
388	89	10476
421	75	10518
422	44	10402
454	61	10637
487	47	10554
488	16	10672
518	95	10635
520	33	10481
553	19	10560
583	98	10468
584	67	10663
586	5	10503
616	84	10755
649	70	10419
650	39	10734
682	56	10513
715	42	10420
716	11	10451
746	90	10519
748	28	10561
781	14	10585
811	93	10816
812	62	10495
814	NULL	6494
844	79	10503
877	65	10371
878	34	10579
910	51	10537
943	37	10510
944	6	10560
974	85	10599
976	23	10491
NULL	10	32435
31	58	10584
32	27	10389
64	44	10602
97	30	10794
128	78	10474
130	16	10485
160	95	10445
163	2	10270
193	81	10445
194	50	10321
226	67	10521
259	53	10554
260	22	10582
292	39	10634
325	25	10593
356	73	10504
358	11	10678
388	90	10705
421	76	10638
422	45	10451
454	62	10438
487	48	10490
488	17	10534
518	96	10544
520	34	10428
553	20	10668
583	99	10585
584	68	10391
586	6	10538
616	85	10766
649	71	10571
650	40	10583
682	57	10321
715	43	10625
716	12	10650
746	91	10538
748	29	10510
781	15	10703
811	94	10501
812	63	10541
814	1	10700
844	80	10629
877	66	10403
878	35	10588
910	52	10652
943	38	10480
944	7	10678
974	86	10600
976	24	10410
NULL	11	31984
31	59	10600
32	28	10802
64	45	10494
97	31	10677
98	NULL	6335
128	79	10391
130	17	10499
160	96	10466
163	3	10395
193	82	10368
194	51	10569
226	68	10527
259	54	10704
260	23	10661
292	40	10547
325	26	10549
356	74	10640
358	12	10614
388	91	10662
421	77	10541
422	46	10515
454	63	10559
487	49	10526
488	18	10632
518	97	10533
520	35	10552
553	21	10538
583	100	10452
584	69	10551
586	7	10606
616	86	10659
649	72	10420
650	41	10754
682	58	10579
715	44	10650
716	13	10610
746	92	10518
748	30	10563
781	16	10605
811	95	10266
812	64	10689
814	2	10526
844	81	10426
877	67	10486
878	36	10576
910	53	10521
943	39	10607
944	8	10587
974	87	10548
976	25	10650
NULL	12	32748
31	60	10714
32	29	10706
64	46	10724
97	32	10545
98	1	10465
128	80	10497
130	18	10440
160	97	10440
163	4	10662
193	83	10495
194	52	10527
226	69	10566
259	55	10402
260	24	10430
292	41	10508
325	27	10383
356	75	10410
358	13	10603
388	92	10611
421	78	10723
422	47	10542
454	64	10498
487	50	10472
488	19	10693
518	98	10582
520	36	10504
553	22	10520
584	70	10797
586	8	10574
616	87	10621
649	73	10506
650	42	10608
682	59	10505
715	45	10603
716	14	10477
746	93	10452
748	31	10551
781	17	10612
811	96	10409
812	65	10646
814	3	10619
844	82	10505
877	68	10198
878	37	10530
910	54	10536
943	40	10512
944	9	10670
974	88	10382
976	26	10352
NULL	13	32673
