2016	736.404752150064
1995	736.8971191728956
1996	736.551276690289
1997	735.8843253618405
1998	735.4903111887937
1999	735.8672478746618
2000	737.5877522287723
2001	736.3415985359494
2002	735.9518661119201
2003	737.9104803062464
2004	737.4011522342332
2005	736.2714725188898
2006	737.9953501204811
2007	735.9654544287548
2008	736.926304400752
2009	736.0984081382855
2010	736.9420026641201
2011	735.7751092191975
2012	738.3924511251486
2013	735.9776556690555
2014	736.6812146786402
2015	737.4944817661719
