KS	77684.9
KY	711598.4000000004
SC	218164.00000000003
SD	66066.79999999999
LA	502407.80000000005
MA	782511.4000000003
MD	690751.6
ME	78756.39999999998
TN	848095.2999999996
MI	1218623.6999999993
TT	1158.9
MN	968015.7000000002
MO	1152953.9
TX	4987119.700000002
FL	2911368.7000000007
MS	109021.69999999998
MT	120868.39999999998
NC	1378880.3000000003
ND	65496.700000000004
NE	172701.19999999998
GA	2483848.1
NH	80838.9
NJ	844042.9999999998
NM	254886.50000000012
UT	806032.7000000003
NV	1213430.0
NY	1866521.5000000002
VA	1282360.1
VI	24165.100000000002
OH	802339.4999999997
OK	289819.3
VT	32388.199999999997
HI	520179.9000000001
OR	415555.0000000001
AK	277509.4
WA	815715.4
AL	248604.00000000012
AR	157239.8
PA	1190765.7999999998
WI	304919.8999999999
IA	142434.90000000002
AZ	1443157.4999999998
ID	122518.5
WV	26623.299999999996
PR	151464.80000000005
WY	37232.8
IL	2747569.6999999993
IN	345805.5000000001
CA	5063213.500000001
CO	1550448.5000000005
CT	179655.3999999999
RI	155023.89999999997
