MT,2493639.3030925673,
OH,16966777.47766224,
WA,18124033.301453486,
MD,14090135.05992758,
MI,25260942.770629194,
TX,104744811.17340215,
KS,1558475.5038624585,
VI,595815.1992875979,
NY,39548085.62289247,
IN,6890032.688598267,
PR,3761938.201608225,
VT,722605.8743723917,
VA,28443215.792974204,
NH,1958147.230100799,
ID,2905192.7208737712,
ME,1370391.483283818,
WI,6659161.896605243,
NJ,18866342.269359034,
MN,20576261.09155498,
SD,1267704.3807824485,
PA,26735182.36390096,
NC,28174833.93588954,
DE,14614.28395819433,
NV,25393714.93945067,
TT,24921.135021272115,
FL,61048563.52936562,
AZ,30283792.639499687,
NM,5370812.530165764,
MO,24124563.602519806,
IA,2760649.3257526895,
WV,467538.96898396226,
GA,53957555.63658649,
LA,9890350.471092338,
SC,4779447.485432617,
CO,31666052.623674493,
CA,110462668.6091784,
CT,4292613.212348653,
HI,10687178.837641444,
NE,3490828.317439909,
AK,6065739.100235279,
RI,3145263.9341745977,
KY,15500709.916322466,
AL,5287806.873673209,
WY,930749.3250904921,
MS,2222168.0494442373,
UT,17071292.439098265,
OK,6366009.447041355,
TN,17939786.824817088,
ND,1434658.3903289118,
OR,9620802.872741684,
MA,16707793.341276018,
IL,59958231.11042569,
AR,3863117.259127794,
