AA,1205.7737221766395,
OO,1205.7737565443074,
VX,1205.7737764308358,
TZ,1205.774674606365,
US,1205.7733631226997,
OH 1,1205.7734647103957,
AS,1205.7741696074315,
B6,1205.7737558352412,
TW,1205.7749368926718,
AQ,1205.7756249725387,
NW,1205.7731909116878,
FL,1205.7725173953247,
HP,1205.773314885818,
CO,1205.7738869531831,
EV,1205.7747313339053,
YV,1205.7729608215918,
UA,1205.7732141498595,
9E,1205.7746548115656,
MQ,1205.7733389792068,
DL,1205.7735801402262,
NK,1205.7753890202125,
HA,1205.7739055046818,
XE,1205.77357350516,
DH,1205.7736848687043,
F9,1205.7746890658145,
WN,1205.7736694511088,
